id,app,category,one_liner,primary_auth,auth_methods,access,access_detail,api_style,api_breadth,mcp,mcp_url,webhooks,verdict,blocker,blocker_detail,composio_slug,confidence,evidence_urls
1,Salesforce,CRM & Sales,"Cloud CRM platform for sales, service, and marketing, with extensive REST/SOAP/GraphQL APIs.",oauth2,oauth2|jwt_or_service_account|bearer_token,self_serve_free,"From background knowledge, not verified this session: free Developer Edition orgs at developer.salesforce.com/signup include API access. Customer production orgs need an API-enabled edition (Enterprise and above, or Professional with an add-on). Hosted MCP servers reportedly require Enterprise Edition and above. All developer.salesforce.com pages returned 403 to my fetch tool, so none of this was confirmed on the vendor pages.",rest|soap|graphql|websocket,broad,official,https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html,True,build_now,none,"No blocker is expected: OAuth2 through a Connected App or External Client App can be set up in a free Developer Edition org. Salesforce has no classic webhooks; it uses Platform Events, Change Data Capture, and Outbound Messages, so a toolkit would need a different approach for triggers. Customers' orgs must have API access enabled, and some orgs restrict connected apps by admin policy. Not confirmed on vendor pages.",salesforce,0.8,https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html|https://developer.salesforce.com/blogs/2026/04/salesforce-hosted-mcp-servers-are-now-generally-available|https://developer.salesforce.com/signup
2,HubSpot,CRM & Sales,"CRM platform for marketing, sales, service with broad CRM/CMS REST APIs.",oauth2,oauth2|bearer_token,self_serve_free,"Free developer accounts and free developer test accounts let anyone create an OAuth app and get credentials with no approval. Core CRM APIs work on free CRM accounts (not verified on the pages opened). Some endpoints need paid tiers. Marketplace listing needs review, but is not required to build.",rest|graphql,broad,official,https://developers.hubspot.com/docs/apps/developer-platform/build-apps/integrate-with-the-remote-hubspot-mcp-server,True,build_now,none,"No blocker for building and testing. Marketplace listing needs app review, and some endpoints depend on the customer's HubSpot tier.",hubspot,0.85,https://developers.hubspot.com/docs/api/working-with-oauth|https://developers.hubspot.com/docs/getting-started/account-types|https://developers.hubspot.com/docs/api/overview|https://developers.hubspot.com/docs/apps/developer-platform/build-apps/integrate-with-the-remote-hubspot-mcp-server
3,Pipedrive,CRM & Sales,"Sales-focused CRM for managing deals, contacts, pipelines, activities and leads.",oauth2,oauth2|api_key,self_serve_free,"Free developer sandbox account via developers.pipedrive.com lets you register OAuth apps and test without paying. Per-account API tokens also work. Public Marketplace listing may need vendor review; docs didn't detail this. Pricing page not opened, so a trial-only sandbox can't be fully ruled out.",rest,broad,official,https://www.pipedrive.com/en/features/mcp-server,True,build_now,none,"No hard blocker found. Public Marketplace listing of an OAuth app may need Pipedrive review (not confirmed in docs), but building and testing works with a free sandbox. Sanctioned-country restriction applies to developers.",pipedrive,0.75,https://pipedrive.readme.io/docs/marketplace-oauth-authorization|https://pipedrive.readme.io/docs/getting-started|https://pipedrive.readme.io/docs/getting-started|https://developers.pipedrive.com/docs/api/v1|https://developers.pipedrive.com/docs/api/v1
4,Attio,CRM & Sales,"Customizable CRM platform for managing contacts, companies, deals and workflows.",oauth2,oauth2|api_key,self_serve_free,"Free plan exists (3 seats, 50k records). Pricing page comparison table lists API and webhook access on all plans including Free. OAuth apps are created via the Developer console. The free-plan/API inclusion was read from a summarized page, so not fully verified.",rest,broad,official,https://mcp.attio.com/mcp,True,build_now,none,No blocker found. OAuth 2.0 for multi-workspace apps is documented; a free workspace should be enough for testing. I did not confirm whether public OAuth apps need Attio review before production.,attio,0.8,https://docs.attio.com/rest-api/guides/authentication|https://docs.attio.com/rest-api/guides/authentication|https://attio.com/pricing|https://docs.attio.com/rest-api/overview|https://docs.attio.com/mcp/overview
5,Twenty,CRM & Sales,"Open-source CRM with cloud and self-hosted options, REST/GraphQL APIs and webhooks.",oauth2,oauth2|api_key,self_serve_free,"Twenty is open source and can be self-hosted at no cost, so a developer gets working API keys and OAuth clients with no approval. Twenty Cloud offers a 30-day no-card trial, then Pro at $9/user/month. I did not find a permanent free cloud tier. I did not verify the self-host license or Cloud plan gating of the API. The pricing page lists REST, GraphQL and webhooks on the paid tiers.",rest|graphql,broad,community,https://github.com/jezweb/twenty-mcp,True,build_now,none,"No blocker for building, since a free self-hosted instance works. For testing against Twenty Cloud, the trial is 30 days and then paid. I found only community MCP servers and did not check whether Twenty ships its own.",twenty,0.72,https://docs.twenty.com/developers/extend/oauth|https://docs.twenty.com/developers/extend/oauth|https://docs.twenty.com/developers/extend/api|https://twenty.com/pricing|https://twenty.com/pricing|https://docs.twenty.com/developers/extend/api
6,Podio,CRM & Sales,"Work-management/lightweight CRM platform with customizable apps, workspaces, items, tasks and workflows.",oauth2,oauth2,self_serve_free,"Register an app at developers.podio.com to get Client ID/Secret; a Podio account is required. A Free plan exists (up to 5 users, 100 items). Docs list no plan restriction on API access, but this was not explicitly confirmed. Rate limits are stated only vaguely, and the raise-on-request wording suggests approval is not required.",rest,broad,official,https://mcp.podio.com/mcp,True,build_now,none,"No hard blocker found. Minor caveats: the free plan's 100-item cap, the 8-hour access token with a 28-day refresh token, and the official MCP is beta only. The pricing page could not be opened directly, so the free-plan and API-access details come from search-result snippets.",,0.75,https://developers.podio.com/authentication|https://developers.podio.com/authentication|https://developers.podio.com/|https://developers.podio.com/|https://developers.podio.com/doc|https://www.progress.com/podio/documentation/using-podio/podio-mcp-server|https://developers.podio.com/
7,Zoho CRM,CRM & Sales,"Cloud CRM for leads, contacts, deals, and sales automation, with a REST API.",oauth2,oauth2,self_serve_free,"Anyone can register an OAuth client for free at api-console.zoho.com, and the docs show no edition requirement for registration. The pricing page lists a Free edition (up to 3 users) with 5000 API calls/day, and paid editions have free trials. I did not confirm exact API-credit limits per edition, or whether the Free edition is still offered in every region and data centre. Each data centre (.com, .eu, .in and so on) needs its own accounts and endpoints.",rest,broad,official,https://www.zoho.com/crm/developer/docs/mcp/overview.html,True,build_now,none,"No hard blocker. Watch multi-data-centre endpoint handling and per-edition API credit limits. Zoho's paid-only sandbox feature was not checked, but the Free edition is enough to build and test.",,0.82,https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html|https://www.zoho.com/crm/developer/docs/api/v8/register-client.html|https://www.zoho.com/crm/pricing.html|https://www.zoho.com/crm/pricing.html|https://www.zoho.com/crm/developer/docs/api/v8/|https://www.zoho.com/crm/developer/docs/api/v8/|https://www.zoho.com/crm/developer/docs/mcp/overview.html
8,Close,CRM & Sales,"Sales CRM with built-in calling, email, SMS, workflows and pipeline management for sales teams.",oauth2,oauth2|api_key|basic,self_serve_trial,"API access is on all plans (Solo to Scale), but Close has no free tier. A no-card 14-day trial gives credentials for testing, after which a paid plan is needed. I could not open the OAuth app registration page (404), so I don't know whether OAuth apps need vendor approval. Close's docs say OAuth is for third-party apps.",rest,broad,official,https://help.close.com/docs/mcp-server,True,build_with_friction,paid_plan,"There is no permanent free tier. Testing is possible only on the 14-day no-card trial, and continued use needs a paid plan. OAuth app registration and approval details were not verified.",close,0.72,https://developer.close.com/topics/authentication/|https://developer.close.com/topics/authentication/|https://www.close.com/pricing|https://www.close.com/pricing|https://developer.close.com/|https://help.close.com/docs/mcp-server
9,Copper,CRM & Sales,"Google Workspace-native CRM for managing contacts, leads, opportunities, tasks and sales pipelines.",oauth2,oauth2|api_key,self_serve_trial,"API keys are generated by an Admin in Settings > Integrations > API Keys. The API is listed under the Professional tier and above, and a search summary said it is also available on trial. I found no free tier, and I could not confirm the trial length from the pages I opened. The OAuth2 app registration process for third parties was not verified and may need a partner or approval step.",rest,moderate,community,https://glama.ai/mcp/servers/hasankhadra/copper-mcp,True,build_with_friction,paid_plan,"There is no free tier. API access needs a Professional or Business plan, or a time-limited trial. OAuth2 for multi-tenant use may also require a partner registration, which I did not verify.",,0.6,https://developer.copper.com/introduction/authentication.html|https://developer.copper.com/introduction/authentication.html|https://support.copper.com/en/articles/9623758-copper-plans-feature-comparison|https://developer.copper.com/
10,DealCloud,CRM & Sales,"Intapp's CRM and deal-management platform for private equity, investment banking and financial services firms.",api_key,api_key|oauth2,partner_or_sales_gated,"DealCloud is an enterprise product with no public signup, free tier or sandbox found. The docs say an admin or the Customer Success Manager must enable API for a user group before users can generate a key. I did not find pricing or a trial page, so that part is inferred, not confirmed.",rest,broad,official,https://api.docs.dealcloud.com/mcp,True,blocked,partner_approval,"Credentials come from a paying customer tenant. Each tenant admin must enable API for a user group, and the user then generates a per-user API key. This is the OAuth2 client-credentials flow with the API key as the secret, and the token lasts 15 minutes. There is no third-party OAuth app flow, and no free dev tenant was found. The official MCP server is read-only and in client preview since July 2026. The ""webhooks"" value comes from the Publications API, which the docs describe as events via topics and polling. That is not confirmed as push webhooks.",,0.6,https://api.docs.dealcloud.com/docs/token|https://api.docs.dealcloud.com/docs/apikeys|https://api.docs.dealcloud.com|https://api.docs.dealcloud.com/mcp
